Parameter,person1_Left,person1_Right,person2_Left,person2_Right,person3_Left,person3_Right,person4_Left,person4_Right,person5_Left,person5_Right,person6_Left,person6_Right
aspect_ratio,1.5,1.57,1.54,1.54,1.45,1.46,1.59,1.65,1.81,1.84,1.9,1.84
hu_moment_1,0.73,-2.31,-2.05,-2.05,-1.98,0.75,0.72,0.71,-2.24,0.71,0.71,0.7
hu_moment_2,2.06,-4.25,-3.68,-3.68,-3.42,2.21,2.03,1.97,-4.14,1.94,1.9,1.85
hu_moment_3,4.7,-4.93,-4.86,-4.86,-4.47,3.8,3.47,3.24,-4.55,3.47,3.6,3.71
hu_moment_4,5.8,-4.78,-4.81,-4.81,-4.32,4.95,4.3,4.05,-4.54,4.18,4.43,4.48
hu_moment_5,11.12,-9.6,-9.65,-9.65,-8.56,9.43,8.19,7.7,8.89,8.01,8.47,8.58
hu_moment_6,6.9,-6.69,-6.41,-6.41,-4.94,6.25,5.32,5.04,-6.58,5.15,5.43,5.42
hu_moment_7,11.31,9.2,7.98,-8.09,8.57,-9.53,9.17,-8.47,8.97,-9.71,8.95,-9.45
fourier_descriptor_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fourier_descriptor_2,0.12,0.24,0.01,0.01,0.32,0.12,0.11,0.14,0.3,0.18,0.19,0.17
fourier_descriptor_3,0.01,0.34,0.33,0.31,0.28,0.03,0.06,0.07,0.29,0.02,0.05,0.03
fourier_descriptor_4,0.01,0.1,0.02,0.02,0.13,0.03,0.06,0.05,0.14,0.02,0.04,0.03
fourier_descriptor_5,0.02,0.0,0.22,0.21,0.02,0.0,0.03,0.02,0.07,0.02,0.02,0.01
